위치,구분,질문,답변,비고
매물상세페이지,,네고와 입찰의 차이를 알고 싶어요!,"1. 네고
정해진 시간이 없이 거래 상대방 간의 협상(네고)에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 집주인의 희망가를 수락하는 매수(임차)인이 나타나거나, 매수(임차)인의 제안가를 집주인이 수락하게 되는 경우 거래가 체결됩니다.
- 가격합의(거래 가격 결정)가 되기 전에는 누구든지 제안가를 제시할 수 있으며, 집주인 또한 희망가를 수정할 수 있습니다.

2. 입찰
특정한 기간 내의 매수(임차)인의 경쟁입찰에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 가장 높은 가격을 제시한 매수(임차)인과 거래가 체결됩니다.
- 다만, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
- 네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
매물상세페이지,,거래참여 방법을 알고 싶어요.,"매물 상세 페이지 하단의 [가격 제안] 또는 [입찰 참여] 버튼을 클릭하고 참여가를 입력하면 거래에 참여됩니다.

만약, 네고 거래에서 집주인의 희망가를 수락하신 경우, 바로 계약협의가 진행됩니다.

매물방문을 원하시거나, 매물의 상세주소가 궁금하신 분들께서는 중개사에게 채팅을 통해 문의하여주시기를 바랍니다.

* 거래참여 방법
1. 거래참여하기 버튼 클릭
2. 참여 가격 입력
3. 거래참여 완료",
매물상세페이지,,매물방문을 하고 싶어요.,"중개사님에게 채팅을 통해 방문을 신청할 수 있습니다.
방문예약 취소와 수정도 중개사님께 채팅으로 요청해주시기를 바랍니다.
매물방문 없이 바로 거래참여도 가능하며, 거래참여 후 매물방문도 거래종료 전이라면 언제든지 가능합니다.
 
* 매물방문 신청 절차
1. 매물 상세페이지 접속
2. 상세페이지 하단 [매물방문] 혹은 [중개사 채팅] 버튼 클릭
3. 중개사와 채팅을 통한 일정 확정

* 방문일정 확인 방법
마이페이지 > 방문일정",
매물상세페이지,,매물의 상세주소를 알고 싶어요.,"네고시오에서 매물의 상세주소는 중개사에게 요청하고, 중개사가 주소 공개를 허용하면 공개됩니다. 중개사에게 채팅으로 주소공개를 요청하여주시기를 바랍니다.  

* 주소공개 요청 방법
1. 매물 상세페이지 접속
2. 상세페이지 상단 [상세주소 요청] 버튼 클릭
3. 중개사 채팅 오픈 후 채팅에서 중개사에게 상세주소 요청
4. 중개사의 주소공개 허용 완료 후 상세주소 공개",
매물상세페이지,,중개사와 대화를 하고 싶어요.,"매물의 상세페이지에서 하단의 방문신청을 눌러주세요. 매물 방문신청을 하시면, 중개사와 채팅방이 만들어집니다.

이미 중개사와의 채팅이 개설된 경우에는, '매물 상세페이지 > 채팅' 혹은 '홈 > 채팅'으로도 중개사와의 채팅방 확인이 가능합니다. ",
매물상세페이지,,가격제안(입찰)할 수 있는 금액에 제한이 있나요?,"네고시오에서는 입찰(제안) 시에, 집주인이 설정한 낙찰기준가 또는 희망가를 기준으로, 참여가격 가이드라인을 제공해드리고 있습니다. 해당 가격 내에서 입찰, 제안 가격을 작성하거나 수정할 수 있습니다. ",삭제
매물상세페이지,,거래참여 후 수정이나 취소할 수도 있나요?,"가격의 수정은 횟수에 제한 없이 변경할 수 있습니다.
단, 거래가 종료되면 신규 참여나 가격 수정은 가능하지 않습니다.

* 참여 가격 수정 방법
1. 매물 상세 페이지 접속
2. 상세 페이지 하단 [입찰가 수정] 혹은 [제안가 수정] 버튼 클릭
3. 가격입력 혹은 희망가 즉시 수락 버튼 클릭
4. 가격수정 완료

* 거래 참여 취소 방법
1. 매물 상세 페이지 접속
2. 상세 페이지 하단 [입찰가 수정] 혹은 [제안가 수정] 버튼 클릭
3. 참여 가격 수정 페이지 하단 '기존 입찰(제안)을 취소하고 싶으시면 여기를 눌러주세요.' 클릭
4. 거래취소 완료",
매물상세페이지,,입찰이 마감되면 어떻게 되나요?,"입찰의 경우 입찰마감 시점에 낙찰 여부가 확정됩니다. 낙찰의 기준은 집주인이 설정한 낙찰기준가 보다 높은 입찰가가 있는 경우입니다. 입찰마감 후 최고입찰가로 참여한 매수(임차)인이 우선협상자로 선정되어, 계약협의가 진행됩니다. 계약협의는 중개사를 통하여 기존의 방식대로 진행됩니다. 우선협상자와의 계약협의 단계에서 거래가 무산되면, 그 다음 낙찰기준가 이상의 최고입찰가를 제안한 매수(임차)인이 우선협상자로 선정됩니다.

입찰마감 시점에, 낙찰기준가보다 높은 입찰가가 없는 경우, 거래유형이 네고로 전환됩니다.",
매물상세페이지,,입찰 중간에 가격합의가 될 수도 있나요?,"입찰은 특정한 기간 내의 매수(임차)인의 경쟁입찰에 의하여 거래 가격을 결정하는 거래 유형입니다.
따라서, 입찰 기간에는 가격합의가 되지 않으며, 입찰 기간이 종료된 후 가장 높은 가격을 제시한 매수(임차)인과 거래가 체결됩니다.
다만, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
매물상세페이지,,네고에서는 어떻게 가격합의가 되는 것인가요?,"네고는 정해진 시간 없이 상대방 간의 협상(네고)에 의하여 거래 가격을 결정하는 거래 유형입니다.
집주인의 희망가를 수락하는 매수(임차)인이 나타나거나, 매수(임차)인의 제안가를 집주인이 수락하게 되는 경우 거래가 체결됩니다.
가격합의(거래 가격 결정)가 되기 전에는 누구든지 제안가를 제시할 수 있으며, 집주인 또한 희망가를 수정할 수 있습니다.",
