위치,구분,질문,내용
마이페이지,[집주인] 매물을 등록하고 싶어요.,다른 사람의 매물을 대신 등록해 줄 수 있나요?,"본인 소유가 아닌 부동산 거래도 등록할 수 있어요.
단, 등록을 위해 등기부상 소유자 최소 1인의 동의가 필요해요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,전월세 세입자도 매물등록을 할 수 있나요?,"세입자도 소유자의 동의를 받아 매물을 등록할 수 있어요.
단, 최종적인 계약체결은 소유자와 진행되므로, 거래 조건을 변경하실 경우에도 소유자의 동의를 받으시기를 권장해요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,"이미 등록된 거래(매매, 전/월세)가 있다고 나와요.","네고시오의 1 매물 1 등록 정책에 의해 매물 주소 1개당 매매, 전월세 각각 하나씩만 등기부상 소유자의 동의를 받고 등록돼요.
다른 소유자나 중개사가 등록한 것은 아닌지 확인해 주세요. 

네고시오가 안전한 거래환경을 조성하기 위해 앞장서 나갈게요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,급매는 어떻게 설정할 수 있나요?,"급매는 매매에서만 설정할 수 있어요.

매물등록 신청 과정에서 급매 희망 여부를 선택하여, 중개사님에게 급매 설정을 요청할 수 있어요.
이미 거래 중인 매물의 경우, 중개사님에게 채팅으로 급매 설정을 요청해 주세요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,중개사 선택이 어려워요.,매물의 위치와 가까이에 계신 중개사님을 선택하는 것이 거래를 관리하기 쉬워요 .네고시오에서는 등록 신청한 매물로부터 가까운 거리의 중개사님을 최대 10분 추천해 드리고 있어요.
마이페이지,[집주인] 매물을 등록하고 싶어요.,매물등록에 소유자 동의는 왜 필요한가요?,"거래의 안전 및 중복 매물 방지를 위하여 등기부상 소유자 최소 1인의 동의가 필요해요. 공동 소유물인 경우에도 소유자 1명의 동의로 매물을 등록할 수 있어요.

네고시오가 안전한 거래환경을 조성하기 위해 앞장서 나갈게요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,휴대폰이 없으면 동의 문자를 어떻게 받을 수 있나요?,아쉽지만 휴대폰이 없으신 경우 문자를 수신할 방법은 없어요. 
마이페이지,[집주인] 매물을 등록하고 싶어요.,소유자가 문자를 받지 못했대요.,"문자를 다시 발송해 주세요. 1일 최대 5번까지 문자를 다시 발송할 수 있어요.
소유자 동의 요청 문자 발송은 등록 신청 중인 매물의 페이지에서 할 수 있어요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,중개사를 다시 선택하라고 알림이 왔어요.,"중개사 사정으로 배정이 취소되면 중개사를 다시 선택해야 해요.
번거로우시겠지만 중개사를 다시 선택해서 매물등록 신청을 완료해 주세요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,매물 정보를 변경하고 싶어요.,"매물 정보는 언제든지 수정할 수 있어요.
희망가는 상세 페이지의 '희망가 수정' 버튼을 통해 할 수 있어요.
희망가를 제외한 매물 정보를 수정하려는 경우 중개사님에게 채팅으로 요청해 주세요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,거래를 중단하고 싶어요.,"거래 진행 중인 매물은 바로 매물등록을 취소해서 거래를 중단할 수는 있어요. 단, 이 경우 제안 받은 내역은 모두 취소돼요.

가계약금 입금이 완료된 이후에 중개사님에게 거래 무산을 요청해서 중단할 수 있어요. 하지만 단순 변심으로 인한 거래 무산 혹은 실제 거래를 할 의사 없이 등록한 매물을 취소하는 경우에는 매물 재등록 시 불이익을 받을 수 있어요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,제가 등록했던 매물 거래 정보랑 등록된 정보가 달라요.,"매물 정보는 언제든지 중개사를 통해 수정할 수 있어요.
희망가를 제외한 매물 정보를 수정하려는 경우 중개사님에게 채팅으로 요청해 주세요."
마이페이지,[집주인] 매물을 등록하고 싶어요.,제 매물 상세 페이지에 있는 단지 정보가 제가 알고 있는 정보와 달라요.,네고시오에서는 매물 상세 페이지에서 볼 수 있는 단지 정보는 정부에서 제공하는 공공 DB를 활용하여 제공하고 있어요. 정보의 차이가 큰 경우에는 네고시오로 알려주세요. 네고시오에서 정보를 정정할게요.
마이페이지,[집주인] 매물을 등록하고 싶어요.,제 매물에 대한 문의는 제가 답을 할 수는 없나요?,매물 문의의 답변 작성과 수정은 중개사님만 가능해요. 답변 내용을 수정하고 싶으신 경우 중개사님에게 채팅으로 연락해 주세요.
마이페이지,[집주인] 매물을 등록하고 싶어요.,중개사님의 서비스에 불만이 있어요,중개사님의 중개행위에 불만 사항이 있으시면 네고시오로 연락해 주세요. 
마이페이지,[매수인/임차인] 거래 방법이 궁금해요.,거래 참여 방법을 알고 싶어요.,"매물 상세 페이지 하단의 '가격 제안' 버튼을 클릭해서 거래에 참여할 수 있어요.
제안하신 가격 및 조건을 중개사님이 확인하시면 상세 조건을 협의할 수 있는 채팅이 개설돼요."
마이페이지,[매수인/임차인] 거래 방법이 궁금해요.,가격을 제안했는데 채팅이 만들어지 않아요. ,"제안한 가격과 조건이 집주인의 희망과는 차이가 있는 것 같아요.
제안을 수정하시거나 조금 더 기다려 보실 수 있어요."
마이페이지,[매수인/임차인] 거래 방법이 궁금해요.,협의가 완료되면 어떻게 되나요?,"채팅으로 협의가 완료되면 기존의 방식대로 중개사님과 상세 계약 협의 후 가계약금입 입금 및 계약서 날인이 기존의 부동산 거래와 동일하게 진행돼요.

네고시오에서는 협의 완료 후 중개사님의 표기에 따라 가계약금 입금 및 계약체결 상태를 확인할 수 있어요. 실제 계약 진행 상태와 네고시오에서의 상태가 다른 경우 중개사님에게 문의해 주세요."
마이페이지,[매수인/임차인] 거래 방법이 궁금해요.,제안 내용을 수정하거나 취소할 수도 있나요?,"중개사님과의 채팅이 개설되기 전까지는 제안한 가격이나 조건을 자유롭게 수정할 수 있어요.

중개사님과 채팅이 개설된 후 제안한 내용을 수정하고 싶으신 경우 중개사님에게 채팅으로 말씀해 주세요. 채팅으로 상세 조건 협의 중 제안을 취소하려면 채팅방 나가기를 해주세요. 단, 채팅방 나가기를 하는 경우 채팅방에 연결된 모든 매물의 가격 제안이 함께 취소돼요."
마이페이지,[매수인/임차인] 거래 방법이 궁금해요.,나와 있는 특약 조건 외에 더 추가하고 싶어요.,중개사님과 채팅으로 상세한 거래 조건을 조율할 수 있어요. 원하는 특약 조건 및 거래 내용에 관해서 중개사님과 채팅으로 이야기를 나눠보세요.
마이페이지,[매수인/임차인] 거래 방법이 궁금해요.,"거래가 성사되었는데, 이제 무엇을 하면 되나요?","중개사님을 통해서 거래가 성사될 경우, 네고시오에서 특별히 하실 것은 없습니다. 거래 후기만 남겨주시면 됩니다. "
마이페이지,[매수인/임차인] 원하는 매물을 찾고 싶어요.,매물은 어떻게 찾을 수 있나요?,"단지 정보나 지도에서 '매물 추천 받기'를 눌러서 원하는 가격, 매물 종류를 입력하시면 돼요. 근처에 있는 중개사님이 조건에 맞는 매물을 추천해 드릴 거예요."
마이페이지,[매수인/임차인] 원하는 매물을 찾고 싶어요.,추천받을 수 있는 지역이 정해져 있나요?,"회원님이 선택한 어느 지역에서든 (동단위로) 추천을 받아볼 수 있어요.
하지만 아쉽게도 아직은 서울, 경기, 인천 지역에만 서비스를 제공하고 있어요. 다른 지역에서도 서비스를 제공할 수 있도록 노력하고 있으니 잠시만 기다려 주세요."
